Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1744657952610,ci40926895,0.68,33.037666,-116.60667,13.88
1744657682460,ci40926879,0.72,33.065834,-116.60817,14.04
1744657345270,ci40926855,1.14,33.050835,-116.59317,13.92
1744657231840,ci40926847,0.68,33.080166,-116.54183,15.14
1744657186140,ci40926839,0.77,33.039833,-116.58417,13.27
1744657072590,ci40926831,1.28,33.048,-116.58833,14.03
1744656906170,ci40926815,2.13,33.055832,-116.61467,12.03
1744656846550,ci40926807,0.67,33.0525,-116.60183,13.51
1744656818340,ci40926791,0.66,33.060665,-116.612335,12.64
1744656737670,ci40926783,0.67,33.049,-116.6035,16.77
1744656664090,ci40926775,1.05,33.03583,-116.591,12.81
1744656640000,ci40926767,0.66,33.062332,-116.61867,13.29
1744656549880,ci40926759,1.37,33.051834,-116.610664,12.24
1744656401450,ci40926743,0.97,33.053833,-116.61584,13.29
1744656185710,ci40926735,0.82,33.053665,-116.61317,12.11
1744656000270,ci40926727,1.61,33.048332,-116.602165,14.21
1744655690560,ci40926719,1.02,33.04,-116.5895,13.89
1744655606110,ci40926711,1.11,33.048332,-116.604836,13.06
1744655578600,ci40926703,0.97,33.04233,-116.58767,13.1
1744655500470,ci40926695,0.96,33.054165,-116.604,13.51
1744655427340,ci40926687,0.96,33.055832,-116.59783,13.05
1744655328180,ci40926679,0.92,33.064335,-116.604836,16.35
1744655306340,ci40926671,1.05,33.064167,-116.628334,10.83
1744655258020,ci40926663,2.11,33.021168,-116.58234,14.04
1744655167170,ci40926647,1.98,33.039665,-116.59116,12.53
1744655160260,ci37543085,1.03,33.042,-116.585335,14.42
1744655133390,ci40926631,1.17,33.050835,-116.587166,15.66
1744655022060,ci40926623,3.95,33.0405,-116.59216,12.57
1744654986060,ci40926615,0.99,33.038,-116.59067,13.07
1744654937980,ci40926607,1.33,33.042168,-116.59983,13.52
1744654921400,ci40926599,0.99,33.0475,-116.59216,14.0
1744654908980,ci40926591,0.96,33.043167,-116.57567,15.77
1744654880850,ci40926583,0.91,33.044334,-116.563835,15.07
1744654578820,ci37543541,1.04,33.099667,-116.63033,16.63
1744654549390,ci37543549,0.79,33.063,-116.612,13.26
1744654507350,ci40926559,1.18,33.045666,-116.601,13.6
1744654352510,ci40926551,1.03,33.0925,-116.631165,15.32
1744654331170,ci40926543,0.76,33.094666,-116.63133,15.99
1744654059740,ci40926535,1.1,33.0395,-116.58617,12.63
1744653880820,ci40926519,1.44,33.046665,-116.60183,13.08
