Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1707731126970,ci40666816,1.56,32.826168,-115.58867,13.35
1707731090220,ci40666808,1.87,32.786,-115.55217,10.23
1707731062290,ci40666792,1.85,32.787334,-115.5555,10.21
1707731013190,ci40666784,1.25,32.776,-115.5575,5.17
1707730920320,ci40666776,2.13,32.786835,-115.5545,11.36
1707730870560,ci40666768,1.57,32.781166,-115.54417,9.85
1707730773470,ci40666760,1.63,32.782665,-115.54483,10.37
1707730764490,ci40666752,1.51,32.819168,-115.62583,19.61
1707730689860,ci40666744,1.85,32.781334,-115.550835,10.12
1707730649170,ci40666736,1.88,32.780666,-115.548164,10.88
1707730563400,ci40666720,1.31,32.8255,-115.606834,9.88
1707730326000,ci40666704,1.49,32.811832,-115.6005,4.2
1707730297450,ci40666696,1.84,32.794167,-115.57633,5.31
1707730233670,ci40666688,2.75,32.79817,-115.57567,11.93
1707730178780,ci40666680,1.23,32.7875,-115.58383,4.6
1707730103730,ci40666672,1.7,32.810333,-115.5895,7.8
1707730071680,ci40666664,1.91,32.81,-115.573166,12.19
1707730058800,ci40666656,1.63,32.783333,-115.547,11.11
1707730034420,ci40666648,2.21,32.779835,-115.55334,3.63
1707729998140,ci40666640,2.45,32.806,-115.577,14.72
1707729932500,ci40666632,1.6,32.775665,-115.544334,9.58
1707729912620,ci40666624,1.55,32.778,-115.55517,4.45
1707729704820,ci40666616,2.26,32.7825,-115.549,12.82
1707729615420,ci40666600,1.27,32.78417,-115.55167,9.64
1707729566520,ci40666592,1.27,32.792667,-115.5605,10.97
1707729487500,ci40666584,1.66,32.806667,-115.570335,14.54
1707729354770,ci40666576,1.48,32.819332,-115.592,11.76
1707729245540,ci40666568,1.22,32.790833,-115.56883,10.51
1707729207660,ci40666560,1.37,32.817833,-115.57567,11.73
1707729103000,ci40666544,1.44,32.784,-115.5465,10.69
1707728990310,ci40666536,1.3,32.7745,-115.55117,8.09
1707728850220,ci40666528,1.47,32.701168,-115.583,5.27
1707728817690,ci40666520,1.58,32.821,-115.5885,11.81
1707728688150,ci40666512,1.68,32.7825,-115.54784,11.61
1707728531390,ci40666504,2.18,32.82683,-115.591835,12.34
1707728498530,ci40666496,2.69,32.8155,-115.56917,11.73
1707728391690,ci40666488,3.9,32.794,-115.56184,15.71
1707728316350,ci40666472,1.77,32.8045,-115.5905,3.99
1707728282880,ci40666464,1.85,32.8195,-115.593,10.58
1707728215070,ci40666456,1.12,32.82,-115.5805,13.42
1707728151620,ci40666448,1.63,32.789333,-115.55817,11.46
1707727896820,ci40666432,2.07,32.79933,-115.569,10.61
1707727873140,ci40666440,1.64,32.806667,-115.617836,1.34
1707727869270,ci40666424,1.19,32.7935,-115.5565,11.39
1707727808280,ci40666416,1.73,32.785,-115.571335,5.99
1707727712770,ci40666408,2.14,32.813168,-115.58283,13.33
1707727627290,ci40666400,2.25,32.8015,-115.5925,3.58
1707727608100,ci40666392,2.22,32.787334,-115.55383,10.2
1707727539920,ci40666384,2.65,32.808666,-115.555664,11.34
1707727432880,ci40666376,3.4,32.784832,-115.5615,8.82
1707727368620,ci40666368,4.56,32.799835,-115.5655,15.76
1707727363690,ci40666360,2.41,32.825165,-115.57433,7.72
1707727312460,ci40666352,2.57,32.819168,-115.59617,13.02
1707727294800,ci40666344,2.95,32.820835,-115.574165,12.77
1707727205350,ci40666336,3.06,32.791332,-115.561165,8.79
1707727159200,ci40666328,3.26,32.7925,-115.55933,11.09
1707727114290,ci40666320,4.05,32.816166,-115.58667,13.64
1707727105950,ci40666312,3.56,32.809,-115.58,14.28
1707727093420,ci40666304,3.49,32.819668,-115.586334,12.1
1707727067540,ci40666296,3.63,32.806835,-115.56433,11.18
